result:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|------|
|    0 |     1 |      64 |              1 |      6.24766 |           0.0 |       1.0 |      64.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     2 |      32 |              2 |      3.48588 |       0.21778 |       1.0 |      32.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     4 |      16 |              4 |      1.94348 |        0.2241 |       1.0 |      16.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     8 |       8 |              8 |       1.6413 |       0.22254 |       2.0 |      13.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    16 |       4 |             16 |      1.23675 |       0.21197 |       2.0 |       8.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    32 |       2 |             32 |      0.72123 |       0.16118 |       2.0 |       4.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    64 |       1 |             64 |       0.6099 |       0.16414 |       3.0 |       3.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
