result: (knudsen = 1e-1)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    32 |       32 |      32 |              1 |     190.1218 |       5.81967 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|    64 |       32 |      16 |              2 |    123.03824 |       7.07175 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |     97.15746 |       6.35906 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |     73.65366 |       5.34758 |       2.0 |       8.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       32 |       2 |             16 |     40.09965 |       3.47304 |       2.0 |       4.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       32 |       1 |             32 |     22.63903 |         2.582 |       2.0 |       2.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
