result:
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |   dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|------|-------|--------|-------------|
|   256 |       64 |       2 |              4 |    687.30937 |      53.87395 |      15.0 |      22.0 | 384 |  4 | 0.01 | 1e-06 | 0.0001 |           1 |
|   512 |       64 |       1 |              8 |    471.46046 |      46.18046 |      15.0 |      15.0 | 384 |  8 | 0.01 | 1e-06 | 0.0001 |           1 |

