result: (knudsen = 1e-2)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|   128 |       64 |      16 |              2 |    108.12187 |       7.16647 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       64 |       8 |              4 |    105.86823 |       6.91659 |       2.0 |      13.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       64 |       4 |              8 |     98.76703 |       7.55786 |       3.0 |      12.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       64 |       2 |             16 |     54.20665 |        4.8208 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  2048 |       64 |       1 |             32 |      31.3744 |       3.43255 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
