result: (knudsen = 5e-2)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    32 |       32 |      32 |              1 |    190.54932 |       5.62118 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|    64 |       32 |      16 |              2 |    121.16083 |       7.15171 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |      98.4138 |       6.59921 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |      75.7909 |       5.33864 |       2.0 |       8.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       32 |       2 |             16 |     38.95403 |       3.43761 |       2.0 |       4.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       32 |       1 |             32 |     33.86088 |       3.58095 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
