result:
| proc_col | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|----------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|        1 |   2130.48504 |           0.0 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|        2 |   1930.24749 |      17.20722 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|        4 |    971.90099 |      13.16718 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|        8 |    495.71545 |       7.69063 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|       16 |    283.63566 |        8.7142 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|       32 |    188.48583 |       5.20703 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|       64 |    163.55297 |       4.87628 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
