result:
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    32 |       16 |      16 |              2 |    161.76246 |       7.93681 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|    64 |       16 |       8 |              4 |    129.37045 |       7.48074 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       16 |       4 |              8 |     80.45892 |       6.07266 |       3.0 |       7.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       16 |       2 |             16 |     63.04746 |       5.06291 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       16 |       1 |             32 |      26.6643 |       2.97636 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
