result: (knudsen = 1e-2)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    64 |       32 |      16 |              2 |    123.05997 |       6.87352 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |    116.41281 |       8.13473 |       2.0 |      13.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |    105.66595 |        7.2255 |       3.0 |      12.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       32 |       2 |             16 |     57.49126 |       4.61722 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       32 |       1 |             32 |     33.24172 |       2.97671 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
