result:
| nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence |
|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|
|     4 |      24 |              1 |     50.04905 |       5.46417 |       6.0 |     128.0 | 256 | 1e-11 | 1e-10 |           1 |
|     8 |      12 |              2 |     35.57359 |       3.70995 |       8.0 |      87.0 | 256 | 1e-11 | 1e-10 |           1 |
|    16 |       6 |              4 |     33.13719 |       6.19679 |      12.0 |      64.0 | 256 | 1e-11 | 1e-10 |           1 |
|    32 |       3 |              8 |     59.58641 |      34.03968 |      20.0 |      53.0 | 256 | 1e-11 | 1e-10 |           1 |
