result: (knudsen = 8e-3)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    32 |       32 |      32 |              1 |    190.80951 |       5.52607 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|    64 |       32 |      16 |              2 |    121.50724 |       8.09381 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |    116.47629 |       6.89704 |       2.0 |      13.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |    110.83825 |       7.27938 |       3.0 |      12.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       32 |       2 |             16 |     59.64473 |       5.09276 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       32 |       1 |             32 |     44.26657 |       4.16692 |       4.0 |       4.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
