result: (knudsen = 5e-3)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    32 |       32 |      32 |              1 |    193.68806 |       5.69102 |       1.0 |      32.0 | 384 |  1 | 0.001 | 1e-06 | 0.0001 |           1 |
|    64 |       32 |      16 |              2 |    120.13797 |       7.47123 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |      99.5348 |       6.17913 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |     207.7679 |      15.70334 |      10.0 |      28.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           0 |
|   512 |       32 |       2 |             16 |            0 |             0 |         0 |         0 | 384 |  0 |     0 |     0 |      0 |           0 |
|  1024 |       32 |       1 |             32 |    105.96214 |      10.59631 |      10.0 |      10.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           0 |
