result:
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters | Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|----|----|-------|-------|--------|-------------|
|     4 |        4 |       4 |              1 |     45.00163 |       2.29465 |       2.0 |       7.0 | 32 |  1 | 0.008 | 1e-06 | 0.0001 |           1 |
|     8 |        4 |       2 |              2 |     52.55875 |        2.3162 |       3.0 |       6.0 | 32 |  2 | 0.008 | 1e-06 | 0.0001 |           1 |
|    16 |        4 |       1 |              4 |     55.27484 |       3.98766 |       6.0 |       6.0 | 32 |  4 | 0.008 | 1e-06 | 0.0001 |           1 |
