0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 orthogonal.py:72(<module>)
      218    0.000    0.000    0.000    0.000 {method 'get_destroy' of 'gi.ArgInfo' objects}
        1    0.000    0.000    0.013    0.013 core.py:12(<module>)
        1    0.000    0.000    0.009    0.009 lines.py:4(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:147(MarkerStyle)
       45    0.000    0.000    0.000    0.000 docstring.py:43(update)
       30    0.000    0.000    0.005    0.000 __init__.py:781(__init__)
       15    0.000    0.000    0.000    0.000 argparse.py:1394(_add_action)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
      201    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
      149    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
       21    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       32    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      260    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expanding.py:10(Expanding)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extension.py:3(<module>)
       16    0.000    0.000    0.000    0.000 offsets.py:93(apply_wraps)
       38    0.000    0.000    0.000    0.000 config.py:699(config_prefix)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
       12    0.000    0.000    0.000    0.000 module.py:114(__init__)
       19    0.000    0.000    0.000    0.000 colors.py:916(reversed)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4824(__init__)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2880(parseImpl)
       20    0.000    0.000    0.000    0.000 deprecation.py:258(_rename_parameter)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:65(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:151(<module>)
       28    0.000    0.000    0.000    0.000 compressed.py:110(getnnz)
       72    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
       27    0.000    0.000    0.000    0.000 pathlib.py:786(name)
        1    0.000    0.000    0.000    0.000 sql.py:4(<module>)
        1    0.000    0.000    0.000    0.000 align.py:2(<module>)
       54    0.000    0.000    0.001    0.000 config.py:730(inner)
      413    0.000    0.000    0.000    0.000 {method 'is_constructor' of 'gi.FunctionInfo' objects}
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4219(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
       32    0.000    0.000    0.000    0.000 function_base.py:20(_index_deprecate)
       12    0.000    0.000    0.000    0.000 numeric.py:1557(normalize_axis_tuple)
        2    0.000    0.000    0.000    0.000 pkgutil.py:503(extend_path)
        1    0.000    0.000    0.001    0.001 regression.py:1(<module>)
      137    0.000    0.000    0.000    0.000 expr.py:161(<genexpr>)
        1    0.000    0.000    0.000    0.000 ops.py:59(BaseGrouper)
        1    0.000    0.000    0.006    0.006 __init__.py:88(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:109(<module>)
        1    0.000    0.000    0.032    0.032 __init__.py:93(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method gi._gi.register_interface_info}
        1    0.000    0.000    0.000    0.000 backend_gtk3.py:99(FigureCanvasGTK3)
        1    0.000    0.000    0.000    0.000 axis.py:34(Tick)
        1    0.000    0.000    0.000    0.000 common.py:49(<setcomp>)
        1    0.000    0.000    0.028    0.028 collections.py:10(<module>)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4069(__str__)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4830(parseImpl)
       10    0.000    0.000    0.000    0.000 base.py:70(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:86(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       38    0.000    0.000    0.000    0.000 pathlib.py:710(__fspath__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 queen_class.py:5(QueenClass)
        1    0.000    0.000    0.669    0.669 schrodinger_2d_central2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hierarchy.py:85(<module>)
        1    0.000    0.000    0.000    0.000 reshape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 indexing.py:569(_NDFrameIndexer)
       12    0.000    0.000    0.000    0.000 generic.py:11188(_make_stat_function)
        1    0.000    0.000    0.001    0.001 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2071(frechet_r_gen)
       36    0.000    0.000    0.000    0.000 importer.py:111(find_module)
        1    0.000    0.000    0.003    0.003 axes3d.py:11(<module>)
        1    0.000    0.000    0.001    0.001 art3d.py:8(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.001    0.001 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:200(Line2D)
        1    0.000    0.000    0.000    0.000 _cm.py:66(cubehelix)
       16    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       66    0.000    0.000    0.000    0.000 pyparsing.py:4029(<genexpr>)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1895(parseString)
       26    0.000    0.000    0.000    0.000 rcsetup.py:50(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       56    0.000    0.000    0.000    0.000 patches.py:1866(_register_style)
       44    0.000    0.000    0.000    0.000 core.py:146(get_object_signature)
       72    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:69(_make_options_dict)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.001    0.001 _normalize.py:4(<module>)
       14    0.000    0.000    0.000    0.000 expr.py:166(_filter_nodes)
        1    0.000    0.000    0.000    0.000 groupby.py:357(_GroupBy)
        1    0.000    0.000    0.000    0.000 range.py:36(RangeIndex)
        6    0.000    0.000    0.000    0.000 base.py:5203(_make_logical_function)
       16    0.000    0.000    0.000    0.000 integer.py:609(_create_arithmetic_method)
        1    0.000    0.000    0.000    0.000 datetimelike.py:397(DatetimeLikeArrayMixin)
       32    0.000    0.000    0.002    0.000 doccer.py:224(decorate)
        1    0.000    0.000    0.001    0.001 _basic.py:5(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
       20    0.000    0.000    0.000    0.000 module.py:254(get_introspection_module)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        2    0.000    0.000    0.001    0.000 missing.py:3(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:172(_deprecate_kwarg)
        1    0.000    0.000    0.000    0.000 collections.py:898(PathCollection)
      158    0.000    0.000    0.000    0.000 pyparsing.py:4009(<genexpr>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      144    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
       34    0.000    0.000    0.000    0.000 argparse.py:1308(register)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:497(cast)
        1    0.000    0.000    0.000    0.000 pathlib.py:611(PurePath)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       39    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 axisgrid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr.py:289(f)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string_.py:22(StringDtype)
       42    0.000    0.000    0.000    0.000 base.py:132(_make_arithmetic_op)
        1    0.000    0.000    0.000    0.000 offsets.py:2803(<dictcomp>)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
        1    0.000    0.000    0.000    0.000 dop853_coefficients.py:1(<module>)
        1    0.000    0.000    0.399    0.399 rcmod.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:393(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method get_default}
        1    0.000    0.000    0.002    0.002 legend.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        3    0.000    0.000    0.008    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.004    0.004 base.py:7(<module>)
        1    0.000    0.000    0.001    0.001 ticker.py:165(<module>)
      130    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3181(parseImpl)
      145    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
       68    0.000    0.000    0.000    0.000 utils.py:70(__init__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       21    0.000    0.000    0.000    0.000 getlimits.py:508(min)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       26    0.000    0.000    0.000    0.000 pathlib.py:1027(_make_child_relpath)
        8    0.000    0.000    0.000    0.000 locale.py:384(normalize)
        6    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      207    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 communicators.py:10(setup)
        1    0.000    0.000    0.001    0.001 __init__.py:31(getPathArchPETSc)
        2    0.000    0.000    0.000    0.000 imp.py:105(get_suffixes)
        1    0.000    0.000    0.000    0.000 html.py:5(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:59(_Window)
        1    0.000    0.000    0.000    0.000 period.py:61(PeriodArray)
       13    0.000    0.000    0.000    0.000 nanops.py:51(__init__)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        1    0.000    0.000    0.003    0.003 filters.py:31(<module>)
        1    0.000    0.000    0.000    0.000 _basic.py:810(erfinv)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        3    0.000    0.000    0.000    0.000 blas.py:254(find_best_blas_type)
      252    0.000    0.000    0.000    0.000 {method 'get_value' of 'gi.ValueInfo' objects}
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:708(Axis)
        1    0.000    0.000    0.005    0.005 axis.py:3(<module>)
        1    0.000    0.000    0.001    0.001 mlab.py:54(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 _subplots.py:216(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1565(FigureCanvasBase)
        1    0.000    0.000    0.001    0.001 dviread.py:18(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:487(_arith_method_SERIES)
        1    0.000    0.000    0.000    0.000 construction.py:6(<module>)
        1    0.000    0.000    0.000    0.000 base.py:57(ExtensionArray)
       20    0.000    0.000    0.000    0.000 dtypes.py:867(construct_from_string)
       16    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       91    0.000    0.000    0.000    0.000 docstring.py:101(do_copy)
       12    0.000    0.000    0.000    0.000 deprecation.py:405(_suppress_matplotlib_deprecation_warning)
        1    0.000    0.000    0.003    0.003 reduction.py:10(<module>)
       82    0.000    0.000    0.000    0.000 typing.py:772(<genexpr>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.set_legacy_print_mode}
        5    0.000    0.000    0.000    0.000 locale.py:350(_replace_encoding)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       25    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.028    0.028 __init__.py:54(import_module)
        1    0.000    0.000    0.002    0.002 engines.py:3(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:4(<module>)
        4    0.000    0.000    0.000    0.000 generic.py:11338(_make_logical_function)
       17    0.000    0.000    0.000    0.000 array.py:1374(_create_arithmetic_method)
       16    0.000    0.000    0.001    0.000 accessor.py:146(add_delegate_accessors)
        1    0.000    0.000    0.000    0.000 constants.py:8(<module>)
        1    0.000    0.000    0.000    0.000 husl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 qt_compat.py:12(<module>)
        1    0.000    0.000    0.003    0.003 backend_agg.py:21(<module>)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5081(__init__)
        1    0.000    0.000    0.006    0.006 compressed.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       53    0.000    0.000    0.000    0.000 enum.py:628(value)
        1    0.000    0.000    0.000    0.000 Collocation.py:10(CollBase)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        1    0.000    0.000    0.000    0.000 period.py:82(PeriodIndex)
        1    0.000    0.000    0.000    0.000 string_.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
        7    0.000    0.000    0.000    0.000 nonlin.py:1542(<listcomp>)
        1    0.000    0.000    0.002    0.002 iterative.py:1(<module>)
      109    0.000    0.000    0.000    0.000 {method 'skip_return' of 'gi.CallableInfo' objects}
        4    0.000    0.000    0.000    0.000 backend_bases.py:3390(export)
      108    0.000    0.000    0.000    0.000 invalid.py:38(make_invalid_op)
        1    0.000    0.000    0.008    0.008 artist.py:1(<module>)
       55    0.000    0.000    0.000    0.000 six.py:184(find_module)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3128(<genexpr>)
       25    0.000    0.000    0.000    0.000 rcsetup.py:285(<listcomp>)
       10    0.000    0.000    0.000    0.000 data.py:22(__init__)
       38    0.000    0.000    0.000    0.000 base.py:242(nnz)
       81    0.000    0.000    0.000    0.000 inspect.py:2226(<lambda>)
        1    0.000    0.000    0.001    0.001 patches.py:3088(ArrowStyle)
       35    0.000    0.000    0.000    0.000 pathlib.py:291(splitroot)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
      164    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       21    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
      112    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.007    0.007 Collocation.py:110(_gen_Qmatrix)
        1    0.000    0.000    0.000    0.000 imp.py:254(find_module)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.000    0.000 tile.py:3(<module>)
        8    0.000    0.000    0.000    0.000 generic.py:11243(_make_cum_function)
       30    0.000    0.000    0.000    0.000 generic.py:89(generate_property)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
       12    0.000    0.000    0.000    0.000 polyint.py:515(set_yi)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2191(frechet_l_gen)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:161(<listcomp>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        9    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
      218    0.000    0.000    0.000    0.000 {method 'get_closure' of 'gi.ArgInfo' objects}
        1    0.000    0.000    0.003    0.003 _parser.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.038    0.038 contour.py:3(<module>)
       19    0.000    0.000    0.000    0.000 path.py:188(_update_values)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
       16    0.000    0.000    0.000    0.000 deprecation.py:196(_deprecated_property)
       16    0.000    0.000    0.000    0.000 deprecation.py:215(finalize)
      107    0.000    0.000    0.000    0.000 __init__.py:272(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1020(<listcomp>)
       27    0.000    0.000    0.000    0.000 version.py:312(<listcomp>)
       16    0.000    0.000    0.000    0.000 version.py:331(_cmp)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:3(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       15    0.000    0.000    0.000    0.000 argparse.py:597(_format_args)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       58    0.000    0.000    0.000    0.000 pathlib.py:1017(_init)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
      255    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      218    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:3(<module>)
      115    0.000    0.000    0.000    0.000 expr.py:172(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:5(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:91(Block)
        1    0.000    0.000    0.000    0.000 numpy_.py:1(<module>)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
        2    0.000    0.000    0.002    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.001    0.001 cobyla.py:11(<module>)
        1    0.000    0.000    0.000    0.000 GObject.py:506(Object)
        1    0.000    0.000    0.000    0.000 legend.py:283(Legend)
        1    0.000    0.000    0.051    0.051 _subplots.py:1(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:221(_get_frame_op_default_axis)
       20    0.000    0.000    0.000    0.000 dtypes.py:1072(construct_from_string)
        1    0.000    0.000    0.001    0.001 afm.py:34(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:57(Artist)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4468(streamline)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4489(__str__)
        1    0.000    0.000    0.004    0.004 context.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 ntpath.py:6(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:945(parse_template)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       17    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.003    0.003 matrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vq.py:66(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        4    0.000    0.000    0.003    0.001 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:1834(IndexCol)
        1    0.000    0.000    0.000    0.000 pytables.py:2464(Fixed)
        1    0.000    0.000    0.001    0.001 rolling.py:772(Window)
        2    0.000    0.000    0.009    0.005 generic.py:10342(_add_series_or_dataframe_operations)
        1    0.000    0.000    0.000    0.000 offsets.py:2678(Day)
        1    0.000    0.000    0.000    0.000 datetimes.py:113(DatetimeArray)
        1    0.000    0.000    0.000    0.000 base.py:590(IndexOpsMixin)
       12    0.000    0.000    0.000    0.000 polyint.py:55(__init__)
        1    0.000    0.000    0.001    0.001 _fitpack_impl.py:22(<module>)
        1    0.000    0.000    0.000    0.000 nonlin.py:550(InverseJacobian)
       24    0.000    0.000    0.000    0.000 doccer.py:238(unindent_string)
        1    0.000    0.000    0.083    0.083 backend_gtk3agg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:3(<module>)
        1    0.000    0.000    0.004    0.004 dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1689(get_plot_commands)
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2256(makeOptionalList)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2537(streamline)
      183    0.000    0.000    0.000    0.000 rcsetup.py:55(func)
       32    0.000    0.000    0.000    0.000 rcsetup.py:706(_validate_greaterequal0_lessequal1)
        1    0.000    0.000    0.001    0.001 __init__.py:188(_check_versions)
       15    0.000    0.000    0.000    0.000 argparse.py:817(__init__)
       35    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
       27    0.000    0.000    0.000    0.000 pathlib.py:1098(glob)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       16    0.000    0.000    0.000    0.000 {built-in method numpy.empty_like}
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
       12    0.000    0.000    0.001    0.000 pkgutil.py:482(find_loader)
       12    0.000    0.000    0.001    0.000 util.py:73(find_spec)
        1    0.000    0.000    0.000    0.000 Errors.py:2(DataError)
        1    0.000    0.000    0.000    0.000 distributions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
        1    0.000    0.000    0.023    0.023 eval.py:5(<module>)
        1    0.000    0.000    0.000    0.000 scope.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ewm.py:30(EWM)
        1    0.000    0.000    0.000    0.000 datetimes.py:82(DatetimeIndex)
       13    0.000    0.000    0.000    0.000 nanops.py:58(__call__)
        1    0.000    0.000    0.000    0.000 _quad_vec.py:1(<module>)
        1    0.000    0.000    0.001    0.001 trf_linear.py:2(<module>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:336(<listcomp>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
      109    0.000    0.000    0.000    0.000 {method 'is_method' of 'gi.FunctionInfo' objects}
      109    0.000    0.000    0.000    0.000 {method 'get_return_type' of 'gi.CallableInfo' objects}
        1    0.000    0.000    0.000    0.000 triinterpolate.py:591(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
        1    0.000    0.000    0.002    0.002 array_ops.py:4(<module>)
        1    0.000    0.000    0.000    0.000 common.py:5(<module>)
        8    0.000    0.000    0.000    0.000 cm.py:79(register_cmap)
        1    0.000    0.000    0.007    0.007 cm.py:16(<module>)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:1380(BoundaryNorm)
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:4443(parseImpl)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:122(parse)
       19    0.000    0.000    0.000    0.000 __init__.py:1309(_to_unmasked_float_array)
        6    0.000    0.000    0.000    0.000 sputils.py:210(isshape)
        1    0.000    0.000    0.000    0.000 compressed.py:27(_cs_matrix)
       18    0.000    0.000    0.000    0.000 dual.py:52(register_func)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       38    0.000    0.000    0.000    0.000 typing.py:1193(_alias)
       26    0.000    0.000    0.001    0.000 _basic.py:16(_dispatch)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1805(_parse_known_args)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       15    0.000    0.000    0.000    0.000 re.py:307(_subx)
       59    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       30    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
    54/22    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.002    0.002 linear_helpers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 communicators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 pytables.py:2640(GenericFixed)
        1    0.000    0.000    0.000    0.000 gbq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:61(BlockManager)
        1    0.000    0.000    0.000    0.000 mstats.py:128(<module>)
        1    0.000    0.000    0.002    0.002 fitpack.py:1(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _ode.py:39(<module>)
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interpolation.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.001    0.001 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:164(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 pyplot.py:1988(<listcomp>)
       16    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
       42    0.000    0.000    0.000    0.000 pyparsing.py:696(haskeys)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1771(get)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2201(__mul__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2278(__or__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:857(<genexpr>)
       10    0.000    0.000    0.000    0.000 coo.py:241(getnnz)
        1    0.000    0.000    0.000    0.000 base.py:62(spmatrix)
       38    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
       35    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        1    0.000    0.000    0.001    0.001 patches.py:1874(BoxStyle)
        1    0.000    0.000    0.000    0.000 shape_base.py:1154(tile)
        1    0.000    0.000    0.000    0.000 arraysetops.py:299(_unique1d)
        1    0.000    0.000    0.000    0.000 function_base.py:4078(meshgrid)
