CMDLINE /usr/bin/python3 main.py
MEM 1.375000 1606411136.5933
MEM 29.324219 1606411136.6937
MEM 46.136719 1606411136.7940
MEM 68.910156 1606411136.8943
MEM 90.929688 1606411136.9946
MEM 104.429688 1606411137.0950
MEM 118.640625 1606411137.1953
MEM 125.714844 1606411137.2957
MEM 125.714844 1606411137.3963
MEM 125.714844 1606411137.4968
MEM 125.714844 1606411137.5971
MEM 130.117188 1606411137.6975
MEM 130.273438 1606411137.7981
MEM 133.179688 1606411137.8985
MEM 171.480469 1606411137.9990
MEM 193.523438 1606411138.0994
MEM 218.253906 1606411138.1997
MEM 241.925781 1606411138.3000
MEM 272.464844 1606411138.4003
MEM 288.160156 1606411138.5007
MEM 304.699219 1606411138.6010
MEM 333.015625 1606411138.7013
MEM 348.464844 1606411138.8016
MEM 377.398438 1606411138.9020
MEM 392.460938 1606411139.0023
MEM 421.703125 1606411139.1026
MEM 454.000000 1606411139.2031
MEM 471.824219 1606411139.3034
MEM 487.125000 1606411139.4037
MEM 506.253906 1606411139.5041
MEM 541.476562 1606411139.6044
MEM 559.765625 1606411139.7047
MEM 604.660156 1606411139.8051
MEM 624.269531 1606411139.9054
MEM 672.273438 1606411140.0057
MEM 675.019531 1606411140.1060
MEM 675.019531 1606411140.2064
MEM 675.019531 1606411140.3067
MEM 675.019531 1606411140.4070
MEM 675.019531 1606411140.5074
MEM 675.019531 1606411140.6077
MEM 675.019531 1606411140.7080
MEM 675.019531 1606411140.8083
MEM 675.019531 1606411140.9087
MEM 675.019531 1606411141.0090
MEM 374.156250 1606411141.1094
MEM 387.511719 1606411141.2097
MEM 565.527344 1606411141.3101
MEM 656.488281 1606411141.4104
MEM 657.476562 1606411141.5107
MEM 657.476562 1606411141.6112
FUNC core_parallel.linear_helpers.__get_v__ 374.3359 1606411141.1625 374.3359 1606411141.1908 0
FUNC core_parallel.linear_helpers.__get_v__ 674.5195 1606411141.9625 674.5195 1606411141.9944 0
FUNC core_parallel.linear_helpers.__get_v__ 674.5195 1606411142.7547 674.5195 1606411142.7778 0
FUNC core_parallel.linear_helpers.__get_v__ 674.5195 1606411143.5324 674.5195 1606411143.5553 0
FUNC core_parallel.linear_helpers.__get_v__ 681.3008 1606411144.5236 681.3008 1606411144.5469 0
FUNC core_parallel.linear_helpers.__step1__ 374.3359 1606411141.2029 387.5117 1606411141.2247 0
FUNC core_parallel.linear_helpers.__step1__ 658.5352 1606411141.9019 658.5352 1606411141.9213 0
FUNC core_parallel.linear_helpers.__step1__ 658.5352 1606411141.9232 658.5352 1606411141.9422 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411142.0104 674.5195 1606411142.0301 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411142.7093 674.5195 1606411142.7286 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411142.7305 674.5195 1606411142.7493 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411142.7934 674.5195 1606411142.8127 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411143.4849 674.5195 1606411143.5055 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411143.5075 674.5195 1606411143.5270 0
FUNC core_parallel.linear_helpers.__step1__ 674.5195 1606411143.5708 674.5195 1606411143.5900 0
FUNC core_parallel.linear_helpers.__step1__ 681.3008 1606411144.4761 681.3008 1606411144.4959 0
FUNC core_parallel.linear_helpers.__step1__ 681.3008 1606411144.4978 681.3008 1606411144.5181 0
FUNC core_parallel.linear_helpers.__step1__ 681.3008 1606411144.5624 681.3008 1606411144.5817 0
FUNC core_parallel.linear_helpers.__step1__ 681.3008 1606411145.2606 681.3008 1606411145.2799 0
FUNC core_parallel.linear_helpers.__step1__ 681.3008 1606411145.2819 681.3008 1606411145.3010 0
FUNC core_parallel.linear_helpers.__step2__ 387.5117 1606411141.2277 658.5352 1606411141.9000 0
FUNC core_parallel.linear_helpers.__step2__ 674.5195 1606411142.0331 674.5195 1606411142.7075 0
FUNC core_parallel.linear_helpers.__step2__ 674.5195 1606411142.8157 674.5195 1606411143.4830 0
FUNC core_parallel.linear_helpers.__step2__ 674.5195 1606411143.5930 681.3008 1606411144.4743 0
FUNC core_parallel.linear_helpers.__step2__ 681.3008 1606411144.5847 681.3008 1606411145.2587 0
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 565.5273 1606411141.3138 657.4766 1606411141.4955 1
