CMDLINE /usr/bin/python3 main.py
MEM 1.437500 1606411093.5244
MEM 29.574219 1606411093.6247
MEM 46.257812 1606411093.7250
MEM 70.105469 1606411093.8253
MEM 90.902344 1606411093.9256
MEM 103.671875 1606411094.0259
MEM 118.804688 1606411094.1263
MEM 125.843750 1606411094.2266
MEM 125.843750 1606411094.3272
MEM 125.843750 1606411094.4277
MEM 125.843750 1606411094.5281
MEM 130.164062 1606411094.6285
MEM 130.324219 1606411094.7292
MEM 133.183594 1606411094.8295
MEM 170.953125 1606411094.9299
MEM 192.550781 1606411095.0302
MEM 216.804688 1606411095.1305
MEM 239.683594 1606411095.2309
MEM 269.644531 1606411095.3312
MEM 285.468750 1606411095.4316
MEM 301.398438 1606411095.5319
MEM 328.441406 1606411095.6322
MEM 344.019531 1606411095.7325
MEM 372.125000 1606411095.8329
MEM 387.507812 1606411095.9332
MEM 415.656250 1606411096.0335
MEM 432.449219 1606411096.1338
MEM 464.390625 1606411096.2342
MEM 479.933594 1606411096.3345
MEM 494.941406 1606411096.4349
MEM 532.066406 1606411096.5352
MEM 548.574219 1606411096.6356
MEM 593.093750 1606411096.7359
MEM 611.824219 1606411096.8362
MEM 661.660156 1606411096.9366
MEM 674.597656 1606411097.0369
MEM 674.597656 1606411097.1373
MEM 674.597656 1606411097.2376
MEM 674.597656 1606411097.3380
MEM 674.597656 1606411097.4383
MEM 674.597656 1606411097.5386
MEM 674.597656 1606411097.6389
MEM 674.597656 1606411097.7393
MEM 674.597656 1606411097.8396
MEM 674.597656 1606411097.9400
MEM 539.210938 1606411098.0403
MEM 373.710938 1606411098.1406
MEM 464.296875 1606411098.2410
MEM 602.855469 1606411098.3414
MEM 602.855469 1606411098.4417
MEM 602.855469 1606411098.5421
FUNC core_parallel.linear_helpers.__get_v__ 373.9609 1606411098.1584 373.9609 1606411098.1711 0
FUNC core_parallel.linear_helpers.__get_v__ 613.3008 1606411098.7158 613.3008 1606411098.7294 0
FUNC core_parallel.linear_helpers.__get_v__ 625.1719 1606411099.2362 625.1719 1606411099.2499 0
FUNC core_parallel.linear_helpers.__get_v__ 637.3398 1606411099.7667 637.3398 1606411099.7805 0
FUNC core_parallel.linear_helpers.__get_v__ 637.3398 1606411100.2889 637.3398 1606411100.3024 0
FUNC core_parallel.linear_helpers.__step1__ 373.9609 1606411098.1804 373.9609 1606411098.1894 0
