CMDLINE /usr/bin/python3 main.py
MEM 1.441406 1606411205.0279
MEM 30.203125 1606411205.1282
MEM 47.039062 1606411205.2285
MEM 70.273438 1606411205.3288
MEM 91.957031 1606411205.4291
MEM 104.550781 1606411205.5294
MEM 118.835938 1606411205.6298
MEM 125.878906 1606411205.7301
MEM 125.878906 1606411205.8307
MEM 125.878906 1606411205.9312
MEM 125.878906 1606411206.0315
MEM 130.195312 1606411206.1319
MEM 130.351562 1606411206.2325
MEM 131.273438 1606411206.3332
MEM 161.871094 1606411206.4335
MEM 182.117188 1606411206.5338
MEM 204.011719 1606411206.6341
MEM 224.582031 1606411206.7344
MEM 244.289062 1606411206.8348
MEM 273.949219 1606411206.9351
MEM 288.832031 1606411207.0354
MEM 304.882812 1606411207.1357
MEM 332.796875 1606411207.2360
MEM 348.156250 1606411207.3364
MEM 376.191406 1606411207.4367
MEM 391.402344 1606411207.5370
MEM 418.839844 1606411207.6374
MEM 438.335938 1606411207.7377
MEM 467.042969 1606411207.8381
MEM 482.070312 1606411207.9384
MEM 497.574219 1606411208.0387
MEM 534.183594 1606411208.1391
MEM 551.480469 1606411208.2394
MEM 596.570312 1606411208.3397
MEM 614.484375 1606411208.4401
MEM 663.511719 1606411208.5404
MEM 674.988281 1606411208.6407
MEM 674.988281 1606411208.7411
MEM 674.988281 1606411208.8414
MEM 674.988281 1606411208.9417
MEM 674.988281 1606411209.0421
MEM 674.988281 1606411209.1424
MEM 674.988281 1606411209.2427
MEM 674.988281 1606411209.3430
MEM 674.988281 1606411209.4434
MEM 674.988281 1606411209.5437
MEM 562.351562 1606411209.6441
MEM 374.101562 1606411209.7444
MEM 374.351562 1606411209.8448
MEM 494.386719 1606411209.9451
MEM 601.937500 1606411210.0454
MEM 683.585938 1606411210.1459
MEM 733.343750 1606411210.2463
MEM 740.562500 1606411210.3466
MEM 742.109375 1606411210.4470
MEM 742.109375 1606411210.5473
MEM 742.109375 1606411210.6476
MEM 742.109375 1606411210.7480
MEM 742.109375 1606411210.8483
MEM 742.109375 1606411210.9487
MEM 742.109375 1606411211.0490
MEM 771.242188 1606411211.1494
MEM 771.242188 1606411211.2498
MEM 772.023438 1606411211.3501
MEM 776.406250 1606411211.4504
MEM 776.406250 1606411211.5508
MEM 785.945312 1606411211.6511
MEM 785.945312 1606411211.7514
MEM 785.945312 1606411211.8518
MEM 785.945312 1606411211.9521
MEM 785.945312 1606411212.0525
MEM 785.945312 1606411212.1528
MEM 785.945312 1606411212.2532
MEM 785.945312 1606411212.3535
MEM 785.945312 1606411212.4539
MEM 785.945312 1606411212.5543
MEM 785.945312 1606411212.6547
MEM 789.296875 1606411212.7551
MEM 789.296875 1606411212.8554
MEM 795.742188 1606411212.9557
MEM 795.742188 1606411213.0561
MEM 795.742188 1606411213.1564
MEM 795.742188 1606411213.2568
MEM 795.742188 1606411213.3571
MEM 795.742188 1606411213.4575
MEM 795.742188 1606411213.5578
MEM 795.742188 1606411213.6583
MEM 795.742188 1606411213.7586
MEM 795.742188 1606411213.8590
MEM 795.742188 1606411213.9593
MEM 795.742188 1606411214.0596
MEM 797.289062 1606411214.1602
MEM 797.289062 1606411214.2606
MEM 797.289062 1606411214.3609
MEM 797.289062 1606411214.4613
MEM 797.289062 1606411214.5616
MEM 797.289062 1606411214.6620
MEM 797.289062 1606411214.7623
MEM 797.289062 1606411214.8627
MEM 797.289062 1606411214.9630
MEM 797.289062 1606411215.0633
MEM 797.289062 1606411215.1637
FUNC core_parallel.linear_helpers.__get_v__ 374.3516 1606411209.7678 374.3516 1606411209.8460 0
FUNC core_parallel.linear_helpers.__get_v__ 771.2422 1606411211.1338 771.2422 1606411211.2122 0
FUNC core_parallel.linear_helpers.__get_v__ 785.9453 1606411212.5355 785.9453 1606411212.5943 0
FUNC core_parallel.linear_helpers.__get_v__ 795.7422 1606411213.9081 795.7422 1606411213.9705 0
FUNC core_parallel.linear_helpers.__get_v__ 797.2891 1606411215.2975 797.2891 1606411215.3603 0
FUNC core_parallel.linear_helpers.__step1__ 399.6367 1606411209.8727 432.5977 1606411209.9250 0
FUNC core_parallel.linear_helpers.__step1__ 742.1094 1606411210.9886 742.1094 1606411211.0435 0
FUNC core_parallel.linear_helpers.__step1__ 742.1094 1606411211.0480 742.1094 1606411211.1010 0
FUNC core_parallel.linear_helpers.__step1__ 771.2422 1606411211.2387 771.2422 1606411211.2902 0
FUNC core_parallel.linear_helpers.__step1__ 785.9453 1606411212.4300 785.9453 1606411212.4790 0
FUNC core_parallel.linear_helpers.__step1__ 785.9453 1606411212.4820 785.9453 1606411212.5291 0
FUNC core_parallel.linear_helpers.__step1__ 785.9453 1606411212.6192 785.9453 1606411212.6687 0
FUNC core_parallel.linear_helpers.__step1__ 795.7422 1606411213.7987 795.7422 1606411213.8485 0
FUNC core_parallel.linear_helpers.__step1__ 795.7422 1606411213.8515 795.7422 1606411213.9014 0
FUNC core_parallel.linear_helpers.__step1__ 795.7422 1606411213.9954 795.7422 1606411214.0455 0
FUNC core_parallel.linear_helpers.__step1__ 797.2891 1606411215.1881 797.2891 1606411215.2385 0
FUNC core_parallel.linear_helpers.__step1__ 797.2891 1606411215.2415 797.2891 1606411215.2910 0
FUNC core_parallel.linear_helpers.__step1__ 797.2891 1606411215.3859 797.2891 1606411215.4579 0
FUNC core_parallel.linear_helpers.__step1__ 798.8359 1606411216.5997 798.8359 1606411216.6508 0
FUNC core_parallel.linear_helpers.__step1__ 798.8359 1606411216.6538 798.8359 1606411216.7065 0
FUNC core_parallel.linear_helpers.__step2__ 464.8555 1606411209.9334 742.1094 1606411210.9853 0
FUNC core_parallel.linear_helpers.__step2__ 771.2422 1606411211.2948 785.9453 1606411212.4269 0
FUNC core_parallel.linear_helpers.__step2__ 785.9453 1606411212.6731 795.7422 1606411213.7956 0
FUNC core_parallel.linear_helpers.__step2__ 795.7422 1606411214.0503 797.2891 1606411215.1850 0
FUNC core_parallel.linear_helpers.__step2__ 797.2891 1606411215.4642 798.8359 1606411216.5967 0
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 648.8594 1606411210.1132 733.3438 1606411210.2704 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 740.5625 1606411210.3255 742.1094 1606411210.4525 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 742.1094 1606411210.5009 742.1094 1606411210.6273 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 742.1094 1606411210.6797 742.1094 1606411210.8052 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 742.1094 1606411210.8580 742.1094 1606411210.9846 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 776.4062 1606411211.3565 776.4062 1606411211.5416 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 785.9453 1606411211.5943 785.9453 1606411211.7706 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 785.9453 1606411211.8183 785.9453 1606411211.9891 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 785.9453 1606411212.0350 785.9453 1606411212.2089 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 785.9453 1606411212.2556 785.9453 1606411212.4261 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 787.7500 1606411212.7191 789.2969 1606411212.8972 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 795.7422 1606411212.9483 795.7422 1606411213.1253 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 795.7422 1606411213.1732 795.7422 1606411213.3478 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 795.7422 1606411213.3948 795.7422 1606411213.5675 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 795.7422 1606411213.6144 795.7422 1606411213.7949 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 795.7422 1606411214.0987 797.2891 1606411214.2896 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 797.2891 1606411214.3380 797.2891 1606411214.5137 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 797.2891 1606411214.5613 797.2891 1606411214.7406 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 797.2891 1606411214.7888 797.2891 1606411214.9613 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 797.2891 1606411215.0086 797.2891 1606411215.1842 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 797.2891 1606411215.5267 797.2891 1606411215.7043 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 798.8359 1606411215.7531 798.8359 1606411215.9282 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 798.8359 1606411215.9756 798.8359 1606411216.1504 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 798.8359 1606411216.2007 798.8359 1606411216.3743 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 798.8359 1606411216.4218 798.8359 1606411216.5960 1
MEM 797.289062 1606411215.2641
MEM 797.289062 1606411215.3645
MEM 797.289062 1606411215.4649
MEM 797.289062 1606411215.5652
MEM 797.289062 1606411215.6656
MEM 798.835938 1606411215.7659
MEM 798.835938 1606411215.8663
MEM 798.835938 1606411215.9666
MEM 798.835938 1606411216.0670
MEM 798.835938 1606411216.1673
MEM 798.835938 1606411216.2676
MEM 798.835938 1606411216.3680
MEM 798.835938 1606411216.4684
MEM 798.835938 1606411216.5687
MEM 798.835938 1606411216.6691
MEM 799.062500 1606411216.7695
MEM 797.824219 1606411216.8699
