result:
nproc | rolling | time_intervals |       tot_time_avg | tot_time_min | tot_time_max |     comm_time_avg | max_iters |  T1 |     T2 |  Nx |  stol |       tol |                err_max
------+---------+----------------+--------------------+--------------+--------------+-------------------+-----------+-----+--------+-----+-------+-----------+-----------------------
    8 |       8 |              8 |         185.183616 |    184.03112 |    186.06129 | 7.029331000000001 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 |  1.25e-13 | 3.0831042320452645e-13
    2 |      32 |              2 |  622.4923200000001 |    603.84612 |    647.64881 |         10.830785 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 | 3.125e-14 |  3.141068842739436e-13
    1 |      64 |              1 | 111.48203899999999 |    108.83935 |    115.92752 |               0.0 |       1.0 | 0.0 | 0.0128 | 700 | 1e-14 |     1e-12 | 1.0267228243433062e-13
    4 |      16 |              4 |         335.177394 |    332.65264 |    337.01882 |          9.902499 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 |  6.25e-14 |  3.142479116883727e-13
   32 |       2 |             32 |          61.251224 |     61.01701 |     61.50737 |          3.576472 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 |     5e-13 | 3.3030270754743856e-13
   16 |       4 |             16 | 114.88909000000001 |      111.896 |    116.96389 |           5.14801 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 |   2.5e-13 | 3.1652766335553763e-13
   64 |       1 |             64 | 31.899569000000003 |     31.26903 |     32.08742 |          2.387658 |       5.0 | 0.0 | 0.0128 | 700 | 1e-15 |     1e-12 | 3.6783307861110787e-13
