result:
nproc | rolling | time_intervals |       tot_time_avg | tot_time_min | tot_time_max |       comm_time_avg | max_iters |  T1 |      T2 |  Nx |  stol |       tol |               err_max
------+---------+----------------+--------------------+--------------+--------------+---------------------+-----------+-----+---------+-----+-------+-----------+----------------------
    8 |       8 |              8 |           5.261595 |      5.14933 |      5.33137 |            1.272039 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 |  1.25e-06 |  7.92742998811935e-06
    2 |      32 |              2 |          12.912732 |     12.74157 |     13.19754 |  1.9938829999999998 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 | 3.125e-07 | 7.927710957589262e-06
    1 |      64 |              1 |          11.240531 |     10.95086 |     11.40507 |                 0.0 |       1.0 | 0.0 | 0.00016 | 800 | 1e-06 |     1e-05 | 7.911373705149494e-06
    4 |      16 |              4 |           8.439335 |      8.26623 |      8.56509 |            1.716862 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 |  6.25e-07 | 7.927494830139992e-06
   32 |       2 |             32 | 1.9186779999999999 |      1.89237 |      1.97542 |            0.617107 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 |     5e-06 | 7.927036587918046e-06
   16 |       4 |             16 | 3.3160799999999995 |      3.29719 |      3.33663 |  0.8818760000000001 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 |   2.5e-06 | 7.927327130063944e-06
   64 |       1 |             64 | 1.0977729999999997 |      1.05774 |      1.30654 | 0.39639299999999994 |       2.0 | 0.0 | 0.00016 | 800 | 1e-09 |     1e-05 | 7.926440911187882e-06
