result:
nproc | rolling | time_intervals |        tot_time_avg | tot_time_min | tot_time_max |       comm_time_avg | max_iters |                T1 |                T2 |  Nx |  stol |   tol |               err_max
------+---------+----------------+---------------------+--------------+--------------+---------------------+-----------+-------------------+-------------------+-----+-------+-------+----------------------
   64 |       1 |             64 | 0.21747999999999998 |       0.1996 |      0.25684 |            0.065445 |       2.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 | 4.596986224902899e-06
    8 |       8 |              8 |            1.139952 |      1.11542 |      1.18066 | 0.24783299999999997 |       3.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 | 4.597077277068706e-06
    2 |      32 |              2 |            3.560683 |      3.53233 |      3.59628 |            0.465606 |       3.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 | 4.619775435310558e-06
    1 |      64 |              1 |            2.069698 |      2.02776 |      2.17135 |                 0.0 |       1.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 |  4.59698620902671e-06
    4 |      16 |              4 |            2.142263 |      2.11726 |      2.17845 |            0.376254 |       3.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 |  4.60092481935348e-06
   32 |       2 |             32 | 0.37183400000000005 |      0.36116 |      0.38694 | 0.10726299999999997 |       2.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 | 4.596986161953254e-06
   16 |       4 |             16 |  0.6144399999999999 |      0.60047 |      0.66109 |            0.154414 |       2.0 | 3.141592653589793 | 3.461592653589793 | 350 | 1e-06 | 1e-05 | 4.596181684024536e-06
