result:
 nproc | rolling | time_intervals | tot_time_avg | tot_time_min | tot_time_max | comm_time_avg | max_iters |  Nx |  stol |       tol |
-------|---------|----------------|--------------|--------------|--------------|---------------|-----------|-----|-------|-----------|
     1 |      64 |              1 |    144.81802 |    144.81802 |    144.81802 |           0.0 |       1.0 | 700 | 1e-14 |     1e-12 |
     2 |      32 |              2 |    732.03095 |    732.03095 |    732.03095 |       7.30255 |       5.0 | 700 | 1e-15 | 3.125e-14 |
     4 |      16 |              4 |     364.9717 |     364.9717 |     364.9717 |       7.36667 |       5.0 | 700 | 1e-15 |  6.25e-14 |
     8 |       8 |              8 |    167.55985 |    167.55985 |    167.55985 |       4.61313 |       4.0 | 700 | 1e-15 |  1.25e-13 |
    16 |       4 |             16 |     86.20315 |     86.20315 |     86.20315 |       3.31181 |       4.0 | 700 | 1e-15 |   2.5e-13 |
    32 |       2 |             32 |     36.47822 |     36.47822 |     36.47822 |        2.1624 |       4.0 | 700 | 1e-15 |     5e-13 |
    64 |       1 |             64 |     16.17751 |     16.17751 |     16.17751 |       1.38974 |       4.0 | 700 | 1e-15 |     1e-12 |
