result:
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|   128 |       64 |      16 |              2 |     93.57224 |        7.0154 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       64 |       8 |              4 |     77.73558 |       6.01721 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       64 |       4 |              8 |     48.93417 |       4.96132 |       3.0 |       7.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       64 |       2 |             16 |     40.24353 |       4.62212 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  2048 |       64 |       1 |             32 |     17.07984 |       3.30153 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
