result:
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |    tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|--------|-------------|
|    64 |       32 |      16 |              2 |    109.06898 |       8.56146 |       1.0 |      16.0 | 384 |  2 | 0.001 | 1e-06 | 0.0001 |           1 |
|   128 |       32 |       8 |              4 |     85.80543 |       6.32384 |       2.0 |      11.0 | 384 |  4 | 0.001 | 1e-06 | 0.0001 |           1 |
|   256 |       32 |       4 |              8 |     53.31584 |       4.60524 |       3.0 |       7.0 | 384 |  8 | 0.001 | 1e-06 | 0.0001 |           1 |
|   512 |       32 |       2 |             16 |     44.88299 |       4.60546 |       3.0 |       6.0 | 384 | 16 | 0.001 | 1e-06 | 0.0001 |           1 |
|  1024 |       32 |       1 |             32 |     18.51997 |       2.81206 |       3.0 |       3.0 | 384 | 32 | 0.001 | 1e-06 | 0.0001 |           1 |
